icao24,model
c0376a,172 (Cessna)
a5b375,172K
a5a85e,172G
a9119c,172A
acce1c,172P
a9efc1,172N
a5a3c1,172I
a49097,172G
a6acb9,172N
a3f2ce,172I
c03cfa,172E (Cessna)
3d115d,F172M
aa36e5,172N
a08199,172M
3d24ac,FR172G Rocket
a7ec0b,172G
a5477c,172G
a9e540,172N
aa368a,172N
ab831e,172K
a9ee26,172N
c03798,172H (Cessna)
a5546e,172G
a19528,172M
39800c,172S Skyhawk SP
c05435,172M (Cessna)
a6c5b0,172E
aa24fd,172B
a1afb2,172M
a9da68,172N
3d2aed,172S Skyhawk SP
a5b67d,172K
a9eb81,172N
a7e7eb,172G
c0167b,172K (Cessna)
a6c1eb,172N
a204e5,172S
3d0c3b,F172M
a12719,172H
c05d26,172 (Cessna)
a87a2d,172N
a9da73,172N
a8152b,172C
ab9cae,172F
adb252,172L
a1a77f,172N
a6c578,172P
a68259,172M
a9d6a5,172N
3d3789,Cessna 172S Skyhawk SP
c04fc5,172S (Cessna)
aa77b2,172B
a9edc2,172N
39a40a,172S Skyhawk SP
aaa95d,172A
a1d186,172I
a677a8,172RG
a7065e,172E
a5e5fe,172N
a9d138,172M
a09813,172M
c081f6,172M (Cessna)
a6c583,172M
adc034,172RG
ab8a03,172K
ab1b55,172B
385f2b,F172M
a9dbda,172N
a2495f,172R
a539dc,172S
aa0de2,172M
a857b6,172P
c05146,172M (Cessna)
acbba7,172M
4047f3,CESSNA 172S Skyhawk
c07870,172S (Cessna)
a72d4f,172F
c064ec,172N (Cessna)
a9da29,172N
a43569,172S
a74798,172E
a6fe72,172N
aa376d,172B
a19d03,172M
3d23c4,Reims/Cessna F172
ad3747,172RG
3d3c72,F172M
3d0aee,F172K
a86c9f,172M
a78bd8,172G
aa8224,172A
a19952,172N
ab6e93,172F
4a9b55,F172M
a2865a,172D
a0940d,172C
a5407c,172M
aa0808,172K
a0c3c9,172M
a0b0bf,172H
343159,172R Skyhawk
a99904,172A
a3a091,172M
a7a84a,172N
3d0a3c,F172F
a95f73,172K
c00a79,172M (Cessna)
4c084f,F172M
a10385,172C
4b9653,172S Skyhawk SP
aa3974,R172K
a1bd2c,172D
a18c0b,172M
a83acf,172P
ad313a,172N
c08774,R172K (Cessna)
a685d2,172M
aa3811,R172K
a81a42,172RG
a6c294,172S
ab1ec3,172F
460656,172N Skyhawk
a9eea5,172N
