Latitude,Longtitude,Pressure [hPa],Height [m],Temperature [C],Relative Humidity [%],Wind Direction [deg],Wind Speed [knot]
,,300.0,9672.0,-31.5,100.0,279.0,27.0
,,250.0,10933.0,-42.0,84.0,278.0,28.0
,,200.0,12403.0,-53.7,47.0,276.0,48.0
,,150.0,14190.0,-68.0,52.0,280.0,60.0
,,100.0,16546.0,-79.2,72.0,248.0,21.0
b'13.0000',b'-125.0000',1012.6,0.0,24.2,77.0,70.0,11.0
,,1000.0,109.0,22.8,75.0,70.0,12.0
,,975.0,329.0,20.7,83.0,71.0,13.0
,,950.0,553.0,18.6,91.0,72.0,12.0
,,925.0,782.0,16.6,96.0,74.0,12.0
,,900.0,1016.0,16.5,65.0,76.0,9.0
,,850.0,1504.0,18.7,4.0,59.0,8.0
,,800.0,2021.0,17.2,3.0,49.0,12.0
,,750.0,2567.0,14.8,8.0,54.0,13.0
,,700.0,3146.0,10.7,21.0,51.0,9.0
,,650.0,3757.0,6.4,23.0,352.0,2.0
,,600.0,4409.0,2.7,19.0,237.0,3.0
,,550.0,5106.0,-1.6,18.0,223.0,6.0
,,500.0,5857.0,-6.4,21.0,223.0,6.0
,,450.0,6674.0,-10.0,12.0,315.0,1.0
,,400.0,7573.0,-15.8,27.0,275.0,6.0
,,350.0,8564.0,-23.5,87.0,275.0,16.0
,,300.0,9673.0,-31.5,99.0,279.0,31.0
,,250.0,10934.0,-42.1,83.0,280.0,28.0
,,200.0,12404.0,-53.8,47.0,279.0,43.0
,,150.0,14190.0,-68.0,54.0,281.0,59.0
,,100.0,16546.0,-79.3,73.0,245.0,22.0
b'13.0000',b'-124.0000',1012.6,0.0,24.3,75.0,69.0,11.0
,,1000.0,109.0,23.0,73.0,70.0,12.0
,,975.0,329.0,20.8,81.0,71.0,12.0
,,950.0,554.0,18.7,89.0,72.0,12.0
,,925.0,783.0,16.6,97.0,74.0,11.0
,,900.0,1016.0,16.0,73.0,78.0,9.0
,,850.0,1504.0,18.5,4.0,53.0,6.0
,,800.0,2020.0,17.0,2.0,41.0,10.0
,,750.0,2567.0,14.8,7.0,48.0,12.0
,,700.0,3145.0,10.9,18.0,45.0,9.0
,,650.0,3757.0,6.4,25.0,353.0,3.0
,,600.0,4408.0,2.8,17.0,249.0,3.0
,,550.0,5106.0,-1.5,15.0,224.0,6.0
,,500.0,5857.0,-6.2,17.0,221.0,6.0
,,450.0,6674.0,-10.1,11.0,354.0,1.0
,,400.0,7572.0,-15.6,32.0,316.0,7.0
,,350.0,8564.0,-23.2,71.0,286.0,18.0
,,300.0,9674.0,-31.6,97.0,282.0,33.0
,,250.0,10935.0,-42.2,85.0,281.0,31.0
,,200.0,12403.0,-53.9,46.0,282.0,41.0
,,150.0,14189.0,-68.0,55.0,281.0,58.0
,,100.0,16545.0,-79.3,70.0,243.0,22.0
b'13.0000',b'-123.0000',1012.6,0.0,24.5,72.0,68.0,10.0
,,1000.0,109.0,23.2,70.0,68.0,11.0
,,975.0,330.0,21.0,77.0,69.0,11.0
,,950.0,554.0,18.9,85.0,71.0,11.0
,,925.0,783.0,16.6,94.0,72.0,11.0
,,900.0,1016.0,15.7,79.0,76.0,9.0
,,850.0,1504.0,18.2,5.0,48.0,3.0
,,800.0,2020.0,16.8,2.0,31.0,8.0
,,750.0,2566.0,14.8,6.0,40.0,11.0
,,700.0,3144.0,11.1,16.0,38.0,9.0
,,650.0,3756.0,6.4,24.0,355.0,4.0
,,600.0,4407.0,2.8,16.0,267.0,4.0
,,550.0,5105.0,-1.4,14.0,231.0,6.0
,,500.0,5857.0,-6.1,13.0,220.0,6.0
,,450.0,6674.0,-10.3,10.0,348.0,2.0
,,400.0,7572.0,-15.6,27.0,325.0,8.0
,,350.0,8564.0,-23.1,63.0,296.0,20.0
,,300.0,9673.0,-31.6,98.0,287.0,36.0
,,250.0,10934.0,-42.3,91.0,284.0,34.0
,,200.0,12402.0,-54.0,44.0,284.0,41.0
,,150.0,14188.0,-67.9,57.0,282.0,56.0
,,100.0,16544.0,-79.3,66.0,243.0,22.0
b'13.0000',b'-122.0000',1012.6,0.0,24.6,70.0,66.0,10.0
,,1000.0,109.0,23.2,67.0,67.0,10.0
,,975.0,330.0,21.2,74.0,68.0,11.0
,,950.0,554.0,19.0,83.0,69.0,11.0
,,925.0,783.0,16.7,91.0,71.0,10.0
,,900.0,1016.0,15.5,81.0,77.0,8.0
