Latitude,Longtitude,Pressure [hPa],Height [m],Temperature [C],Relative Humidity [%],Wind Direction [deg],Wind Speed [knot]
53.3,-60.36,12802,162.9,-69.9,52,250,121
53.3,-60.36,14016,133.0,-68.3,19,252,79
53.3,-60.36,16764,84.7,-64.3,4,255,69
53.3,-60.36,20150,48.7,-66.1,2,254,97
53.75,-73.66,1065,850.0,-12.5,93,205,23
53.75,-73.66,2527,700.0,-15.5,88,175,39
53.75,-73.66,4435,541.0,-28.7,100,176,40
53.75,-73.66,6096,427.0,-37.2,4,170,40
53.75,-73.66,9670,250.0,-51.9,6,190,56
53.75,-73.66,12264,167.0,-53.5,3,201,67
53.75,-73.66,14935,109.3,-61.4,4,210,74
53.75,-73.66,16764,81.3,-62.5,3,235,71
53.75,-73.66,23685,25.7,-72.1,4,240,121
53.75,-73.66,28178,12.1,-67.5,4,241,129
51.29,-80.62,399,947.0,-29.9,85,285,29
51.29,-80.62,1023,868.0,-27.1,62,306,28
51.29,-80.62,1829,777.3,-22.6,39,285,28
51.29,-80.62,2599,700.0,-22.3,36,255,31
51.29,-80.62,4877,507.5,-38.8,66,230,15
51.29,-80.62,6480,400.0,-47.5,67,205,18
51.29,-80.62,8796,280.0,-51.9,5,205,28
51.29,-80.62,10980,200.0,-51.7,2,215,31
51.29,-80.62,15240,103.0,-57.1,2,225,52
51.29,-80.62,17660,70.0,-61.7,2,230,65
51.29,-80.62,20129,46.9,-66.1,2,230,90
51.29,-80.62,23929,24.9,-71.7,3,240,120
51.29,-80.62,27432,13.8,-69.1,2,235,141
51.45,-90.22,651,925.0,-29.1,77,290,30
51.45,-90.22,1622,807.0,-30.5,84,333,34
51.45,-90.22,2476,716.0,-28.1,63,345,42
51.45,-90.22,4267,555.1,-37.7,26,340,42
51.45,-90.22,6096,424.0,-44.7,7,340,55
51.45,-90.22,8370,300.0,-51.5,6,340,51
51.45,-90.22,10872,204.0,-53.9,1,327,48
51.45,-90.22,14806,110.0,-59.9,1,305,53
51.45,-90.22,17678,69.2,-62.8,2,290,61
51.45,-90.22,19718,49.6,-68.5,2,265,52
51.45,-90.22,23470,26.5,-71.0,2,245,74
51.45,-90.22,26077,17.1,-73.3,2,245,77
53.97,-101.09,524,954.0,-29.5,86,336,20
53.97,-101.09,1143,876.0,-18.9,59,343,18
53.97,-101.09,1732,810.0,-16.5,55,338,17
53.97,-101.09,2818,700.0,-22.9,58,345,19
53.97,-101.09,3658,623.4,-27.8,27,330,20
53.97,-101.09,4744,535.0,-32.9,36,332,29
53.97,-101.09,6510,416.0,-38.1,69,327,63
53.97,-101.09,8839,292.6,-55.4,73,320,78
53.97,-101.09,10964,209.0,-58.1,8,320,85
53.97,-101.09,14021,128.3,-62.6,2,325,72
58.11,-68.41,324,959.0,-13.1,86,82,38
58.11,-68.41,1656,806.0,-12.1,86,137,70
58.11,-68.41,3262,652.0,-19.5,84,150,57
58.11,-68.41,4912,522.0,-21.5,76,166,56
58.11,-68.41,6830,400.0,-34.9,70,195,53
58.11,-68.41,9920,250.0,-62.5,51,180,98
58.11,-68.41,11582,189.8,-69.3,49,205,103
58.11,-68.41,15545,98.6,-67.5,4,230,73
53.9,-122.79,1149,886.0,-5.7,63,180,27
53.9,-122.79,1943,802.0,-0.7,13,306,17
53.9,-122.79,3018,700.0,-6.9,53,300,27
53.9,-122.79,4345,589.0,-15.9,76,276,42
53.9,-122.79,5791,485.1,-23.7,81,295,40
53.9,-122.79,7861,362.0,-39.3,69,285,41
53.9,-122.79,11382,210.0,-64.7,53,276,57
53.9,-122.79,12647,171.0,-58.3,6,284,42
53.9,-122.79,15240,112.9,-61.1,2,290,50
53.9,-122.79,17983,72.1,-67.7,2,300,60
53.9,-122.79,21408,40.8,-69.9,2,312,68
53.9,-122.79,24689,23.6,-66.5,2,330,116
53.9,-122.79,28042,13.8,-55.4,1,340,194
53.9,-122.79,31699,7.9,-46.2,1,345,221
63.75,-68.55,541,946.0,-15.3,35,101,14
63.75,-68.55,1524,831.8,-12.1,22,110,17
63.75,-68.55,2743,707.7,-19.2,17,150,14
63.75,-68.55,3962,598.8,-28.0,10,180,26
63.75,-68.55,5182,503.5,-36.6,67,210,23
63.75,-68.55,6986,386.0,-47.7,58,229,34
63.75,-68.55,8839,289.7,-57.9,24,245,93
