,Elevation,Latent Variable 1,Latent Variable 2
897,313.0,2.846416,2.156107
898,10.0,3.850237,3.979379
899,11.0,2.223548,2.794372
900,1099.0,8.494936,1.059649
901,16.0,0.376599,0.519081
902,79.0,4.62958,5.367305
903,317.0,3.315943,5.334319
904,13.0,2.795416,5.017799
905,178.0,5.161349,5.538711
906,13.0,1.672273,6.081667
907,5.0,4.733948,5.951621
908,872.0,6.175406,5.026199
909,359.0,0.033161,2.24303
910,180.0,3.159544,0.0
911,13.0,3.968499,4.502165
912,215.0,1.524589,0.0
913,16.0,6.012083,5.085779
914,751.0,1.13841,1.884807
915,178.0,1.640699,1.905749
916,12.0,7.116675,0.321856
917,329.0,2.518239,0.568951
918,654.0,0.43172,4.587429
919,13.0,0.177127,5.593779
921,9.0,1.936677,0.0
922,173.0,2.839022,3.642295
923,359.0,7.633571,4.022841
924,13.0,2.159255,2.165745
925,10.0,1.163573,2.824483
926,178.0,4.014225,5.496788
927,446.0,5.740973,6.561454
928,93.0,4.595616,4.362312
929,874.0,5.139365,0.340689
930,357.0,5.052272,3.857784
931,1252.0,4.53678,2.522189
932,7.0,4.061627,5.376977
933,654.0,0.0,1.170653
934,13.0,3.507768,4.903543
935,1619.0,8.786497,3.885261
936,5.0,2.755028,3.760552
937,178.0,3.571468,0.77028
938,13.0,4.903877,5.266593
939,790.0,1.284228,0.0
940,53.0,0.0,7.025309
941,357.0,1.455658,1.567086
942,751.0,0.351798,5.718605
943,190.0,3.306775,2.660802
