,Elevation,Latent Variable 1,Latent Variable 2,Latent Variable 3
465,79.0,4.239554,7.307673,2.757493
466,215.0,4.064498,3.937835,6.687856
467,171.0,2.752996,1.160973,1.688031
468,1289.0,1.623061,1.992147,4.395176
469,178.0,2.351674,2.425518,2.085027
470,313.0,3.638663,3.41012,4.977224
471,700.0,1.402214,1.8124,3.620892
472,15.0,6.58491,6.261861,2.440937
473,1516.0,1.82655,0.308051,4.278162
474,405.0,2.49695,5.284656,7.281863
475,60.0,0.73634,2.79116,0.0
476,872.0,2.288747,3.594567,5.507072
477,872.0,1.673475,0.0,2.665658
478,1611.0,1.698314,1.857891,4.806402
480,1625.0,0.502585,0.905686,2.732665
481,13.0,5.368111,4.55534,7.747311
484,506.0,0.790199,3.661342,1.709089
485,10.0,1.554361,4.781383,2.282891
486,317.0,7.189631,7.14484,4.272417
487,446.0,8.699738,7.856258,0.0
488,9.0,6.084864,7.380565,0.860943
490,849.0,0.616945,3.756646,7.133019
491,95.0,0.570622,4.446908,7.935911
493,173.0,4.742118,4.348326,2.771213
494,405.0,0.631719,1.897521,1.470028
495,20.0,7.245695,6.372026,0.0
496,405.0,0.80014,0.0,1.69778
497,11.0,4.624012,1.711001,2.669164
498,874.0,3.385827,1.898882,3.30241
499,446.0,0.0,0.064857,3.417088
500,287.0,0.437071,1.475115,5.502509
501,1134.0,0.615349,2.375697,4.161491
502,506.0,0.183833,0.279904,1.273531
503,61.0,0.180598,2.692194,0.749927
504,189.0,0.0,2.592852,4.173375
505,11.0,2.287135,3.797294,3.498627
506,751.0,3.95997,3.352625,5.890305
507,13.0,3.70005,4.648451,3.839995
509,93.0,1.540974,0.928869,3.263562
511,125.0,4.667283,6.300756,5.318161
512,62.0,2.377385,2.148148,2.702277
514,728.0,1.908628,2.21861,1.336435
515,12.0,0.826137,0.691065,3.038104
516,396.0,3.013061,4.201869,4.2281
517,79.0,5.546527,6.012352,4.635277
518,121.0,3.630543,2.660932,1.81487
519,15.0,2.871448,0.422161,2.374213
520,287.0,2.446063,2.094454,5.761917
521,751.0,2.909809,1.594378,3.321839
522,654.0,2.940146,2.125877,2.74916
523,190.0,1.519706,5.131319,2.044915
524,387.0,2.531155,1.28394,3.383305
525,1289.0,5.584208,1.015215,1.002806
526,874.0,1.41951,4.247611,6.966014
528,1029.0,0.258973,1.408221,0.94961
529,287.0,0.7762,0.0,1.509437
530,287.0,0.525431,0.025913,4.639318
531,95.0,1.646969,4.580338,8.849482
533,62.0,0.505777,1.597271,0.0
535,12.0,5.068176,4.188694,3.673057
536,396.0,2.618299,3.772833,4.670699
537,13.0,3.909694,1.889644,4.517444
538,173.0,2.130762,0.99603,1.73944
539,329.0,0.731794,2.842284,0.306905
540,9.0,2.427132,5.294116,6.64334
541,287.0,1.696931,0.238897,1.078552
543,121.0,3.903022,2.9879,6.423757
544,849.0,2.391476,2.939586,2.201432
545,405.0,0.581407,0.0,1.573557
546,171.0,8.327662,4.354443,1.788191
547,189.0,0.53942,5.413989,2.846521
548,446.0,0.85178,1.080458,6.080766
549,171.0,3.039122,1.845816,2.828799
550,20.0,3.350011,4.155985,4.824252
551,10.0,0.826157,0.460704,1.48225
552,229.0,3.054219,2.335048,6.801205
553,60.0,2.033843,1.590235,3.633761
554,20.0,1.3593,0.574454,2.245862
555,137.0,2.41675,3.142845,2.584596
556,5.0,6.541574,6.430552,5.1434
557,790.0,3.051649,5.601835,2.286152
558,10.0,4.774425,7.264109,1.834714
559,874.0,1.118268,3.692424,0.0
560,1134.0,0.836142,2.397786,1.415688
561,872.0,0.799072,0.371811,2.112884
563,405.0,3.006976,4.441792,4.150725
565,1134.0,0.086395,4.14724,3.321574
566,350.0,0.82795,2.574823,4.973946
567,137.0,6.399468,2.108365,4.063192
568,10.0,2.125771,3.726977,1.373335
569,1134.0,4.755897,1.296538,4.324058
570,329.0,0.0,5.439267,6.833848
571,751.0,3.381902,0.504179,3.81192
572,215.0,1.801861,2.007156,2.255724
573,20.0,0.986168,0.0,1.005281
574,5.0,0.425812,4.147184,0.768696
575,1625.0,1.060076,1.204132,2.359073
576,91.0,4.634632,3.475263,3.858941
577,62.0,4.309293,2.461673,2.270331
579,357.0,1.528116,3.351033,1.6181
580,345.0,0.870788,1.519512,1.861087
581,11.0,2.590651,0.402574,3.639154
582,446.0,5.987828,1.281752,0.385172
583,245.0,1.985018,3.433334,1.745743
584,357.0,1.274256,0.0,2.329034
585,53.0,3.174629,3.53849,2.850657
586,849.0,1.723292,1.938956,1.761564
587,13.0,5.469053,3.593596,7.364616
588,1029.0,2.245714,3.263913,3.970206
589,13.0,4.100929,3.713826,3.014151
591,396.0,1.851293,0.841859,5.362213
593,1099.0,0.979515,2.091207,1.743802
595,178.0,3.029908,4.689601,1.402835
596,1289.0,1.461611,0.0,4.703762
597,10.0,3.957095,3.630353,3.172527
598,1029.0,0.0,1.454745,1.400407
599,396.0,1.364821,2.520428,2.585076
600,11.0,2.605352,1.254365,6.636356
601,270.0,2.132325,2.64512,3.842572
602,178.0,3.256328,1.277525,1.85295
603,15.0,5.589964,2.438589,4.878163
604,1134.0,1.352519,0.077392,1.750198
605,189.0,0.488851,4.203287,1.490696
606,359.0,2.557252,3.148719,3.132229
608,1475.0,0.691866,0.0,2.460668
609,13.0,1.32004,1.571005,0.09914
610,387.0,1.973766,2.718501,2.819038
611,359.0,1.435835,1.668465,2.941868
612,173.0,5.912377,7.904644,1.489108
613,1625.0,0.267815,0.848837,0.524977
614,751.0,3.324199,6.216134,5.653402
615,79.0,4.78527,6.385242,3.334925
616,16.0,1.998286,1.334253,2.122984
617,79.0,3.498522,2.075388,3.118431
619,171.0,2.372137,0.045209,2.331236
620,215.0,0.453768,1.582087,1.046006
621,13.0,4.643835,3.58653,5.489231
622,91.0,3.940621,3.20332,3.466159
623,62.0,0.520784,6.292651,5.378104
624,125.0,1.568518,3.083122,8.704582
625,180.0,2.432928,1.640295,4.665284
626,229.0,2.06374,4.341505,6.33226
627,1475.0,0.142778,2.544132,1.687254
628,1029.0,0.0,1.489946,1.929832
629,3.0,8.475318,2.248355,2.699332
630,270.0,5.235837,6.518769,2.886406
631,5.0,4.121543,2.399529,3.926403
632,1289.0,0.473091,3.149353,4.14132
633,1252.0,0.459746,2.474986,0.777609
634,1608.0,0.993334,0.938615,1.669012
635,190.0,2.837439,4.503281,2.968407
636,1029.0,0.247996,2.396858,3.925618
637,1516.0,0.0,0.785638,1.041316
638,79.0,2.513865,0.988182,3.9381
640,446.0,1.401964,2.429746,6.597816
641,1516.0,0.237365,2.798102,3.329876
642,872.0,1.552796,0.035404,1.110284
643,872.0,3.510299,0.061776,1.621307
644,178.0,1.465417,0.827355,1.728292
645,12.0,2.774832,1.854586,4.247453
646,387.0,2.709219,0.36273,2.606505
647,13.0,7.374128,6.722024,0.494967
648,245.0,4.803542,2.050416,4.510328
649,7.0,6.145489,3.380934,5.070016
650,270.0,3.742655,4.635911,5.344838
651,446.0,0.363598,5.365577,2.485025
652,189.0,0.956463,5.481942,1.988178
653,137.0,4.880326,3.897197,5.099196
655,61.0,0.560516,4.133979,4.107688
656,446.0,1.216715,5.330242,1.972413
657,62.0,5.320765,6.404182,5.245235
658,189.0,0.559711,6.033402,5.784512
659,214.0,2.12631,4.163648,1.790112
660,359.0,4.824607,4.828122,4.290635
661,654.0,2.35184,5.20709,1.764429
662,1625.0,0.0,3.099189,1.962496
663,215.0,4.491502,5.292861,6.0354
664,79.0,3.025163,2.095443,4.129725
665,313.0,2.041194,5.149202,5.457026
666,872.0,2.329237,1.722222,2.959129
667,137.0,4.935111,2.150535,4.610412
668,15.0,0.620839,0.487643,1.297526
670,506.0,1.29169,1.059853,3.285078
672,171.0,4.603025,2.581237,6.021569
673,125.0,2.082423,4.000831,4.920283
674,1625.0,0.165125,1.481906,6.078177
675,849.0,0.270334,1.162267,0.499162
676,1029.0,0.982865,0.614798,3.497036
679,1099.0,3.849352,0.728521,2.971828
681,1608.0,1.151606,0.339027,2.113533
682,173.0,5.611733,5.454746,7.488436
683,53.0,2.447704,5.755767,1.685369
684,506.0,1.541099,2.957109,5.136192
685,229.0,3.676907,3.361236,3.435611
687,270.0,2.906144,6.140146,2.330413
688,171.0,3.391339,4.518505,6.085609
689,178.0,1.063262,3.685439,4.297847
690,654.0,1.798027,0.680139,0.266052
691,345.0,3.072522,3.360919,4.462767
692,11.0,6.608637,5.551521,5.189221
693,215.0,0.514848,3.318679,7.939451
694,359.0,4.791127,6.267692,3.626171
695,697.0,4.387246,0.747862,4.371453
696,1289.0,0.074567,0.556337,1.848478
698,1619.0,1.320284,6.186937,7.549639
699,357.0,0.537814,3.940119,2.725353
700,317.0,0.0,0.662761,1.492572
701,387.0,3.270112,2.981981,5.877188
702,11.0,4.353806,2.916512,5.183726
703,345.0,4.482595,1.920843,5.63041
704,345.0,2.780795,0.232136,2.889493
705,1289.0,1.771596,3.238008,5.266985
706,62.0,2.091925,1.148856,1.615313
707,178.0,3.510272,2.510452,6.756423
708,190.0,1.133369,3.449675,3.619658
709,79.0,4.926733,4.28392,3.327855
710,10.0,4.994419,6.550275,3.819797
711,872.0,4.238956,5.330215,5.095773
712,178.0,3.215739,1.314227,3.709204
713,654.0,1.135985,1.748781,3.121634
714,178.0,4.489954,4.851415,5.295975
717,751.0,2.997981,0.948679,3.504266
